t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
88273.732,-360028.276747747,-141133.622493525,-89489.875858492,0.384110821,-0.814722628,-0.423110687
88873.732,-359797.397717145,-141622.292674060,-89743.638343991,0.385485761,-0.814177672,-0.422764110
89473.732,-359565.694059708,-142110.635337462,-89997.192604220,0.386859576,-0.813630905,-0.422416603
90073.732,-359333.166451262,-142598.649398402,-90250.538081835,0.388232264,-0.813082330,-0.422068168
90673.732,-359099.815569222,-143086.333772638,-90503.674220144,0.389603821,-0.812531950,-0.421718805
91273.732,-358865.642092596,-143573.687377020,-90756.600463103,0.390974245,-0.811979764,-0.421368517
91873.732,-358630.646701976,-144060.709129488,-91009.316255321,0.392343534,-0.811425777,-0.421017303
92473.732,-358394.830079539,-144547.397949075,-91261.821042055,0.393711684,-0.810869988,-0.420665165
93073.732,-358158.192909044,-145033.752755908,-91514.114269217,0.395078694,-0.810312401,-0.420312105
93673.732,-357920.735875826,-145519.772471209,-91766.195383371,0.396444560,-0.809753017,-0.419958122
94273.732,-357682.459666799,-146005.456017299,-92018.063831734,0.397809279,-0.809191838,-0.419603219
94873.732,-357443.364970449,-146490.802317595,-92269.719062177,0.399172850,-0.808628865,-0.419247396
95473.732,-357203.452476834,-146975.810296617,-92521.160523227,0.400535270,-0.808064100,-0.418890654
96073.732,-356962.722877578,-147460.478879985,-92772.387664065,0.401896535,-0.807497546,-0.418532995
96673.732,-356721.176865872,-147944.806994422,-93023.399934529,0.403256644,-0.806929204,-0.418174420
97273.732,-356478.815136470,-148428.793567755,-93274.196785115,0.404615594,-0.806359076,-0.417814929
97873.732,-356235.638385686,-148912.437528919,-93524.777666974,0.405973382,-0.805787164,-0.417454525
98473.732,-355991.647311392,-149395.737807955,-93775.142031918,0.407330005,-0.805213469,-0.417093207
99073.732,-355746.842613014,-149878.693336012,-94025.289332415,0.408685461,-0.804637994,-0.416730977
99673.732,-355501.224991531,-150361.303045350,-94275.219021597,0.410039748,-0.804060741,-0.416367836
100273.732,-355254.795149472,-150843.565869341,-94524.930553251,0.411392863,-0.803481710,-0.416003785
100873.732,-355007.553790914,-151325.480742470,-94774.423381828,0.412744803,-0.802900905,-0.415638826
101473.732,-354759.501621476,-151807.046600336,-95023.696962440,0.414095565,-0.802318326,-0.415272959
102073.732,-354510.639348321,-152288.262379655,-95272.750750862,0.415445148,-0.801733976,-0.414906185
102673.732,-354260.967680151,-152769.127018258,-95521.584203529,0.416793548,-0.801147857,-0.414538506
103273.732,-354010.487327204,-153249.639455096,-95770.196777544,0.418140764,-0.800559971,-0.414169923
103873.732,-353759.199001251,-153729.798630242,-96018.587930670,0.419486791,-0.799970319,-0.413800437
104473.732,-353507.103415598,-154209.603484888,-96266.757121338,0.420831629,-0.799378903,-0.413430048
105073.732,-353254.201285075,-154689.052961348,-96514.703808641,0.422175274,-0.798785725,-0.413058759
105673.732,-353000.493326042,-155168.146003064,-96762.427452342,0.423517724,-0.798190787,-0.412686570
106273.732,-352745.980256380,-155646.881554600,-97009.927512868,0.424858976,-0.797594092,-0.412313482
106873.732,-352490.662795492,-156125.258561649,-97257.203451313,0.426199027,-0.796995639,-0.411939497
107473.732,-352234.541664300,-156603.275971031,-97504.254729442,0.427537876,-0.796395433,-0.411564615
108073.732,-351977.617585240,-157080.932730697,-97751.080809686,0.428875520,-0.795793474,-0.411188837
108673.732,-351719.891282261,-157558.227789728,-97997.681155146,0.430211955,-0.795189764,-0.410812165
109273.732,-351461.363480823,-158035.160098337,-98244.055229593,0.431547181,-0.794584306,-0.410434601
109873.732,-351202.034907895,-158511.728607873,-98490.202497468,0.432881193,-0.793977101,-0.410056144
110473.732,-350941.906291949,-158987.932270817,-98736.122423884,0.434213990,-0.793368151,-0.409676796
111073.732,-350680.978362960,-159463.770040789,-98981.814474624,0.435545570,-0.792757458,-0.409296558
111673.732,-350419.251852403,-159939.240872544,-99227.278116146,0.436875929,-0.792145024,-0.408915432
112273.732,-350156.727493250,-160414.343721979,-99472.512815578,0.438205065,-0.791530851,-0.408533418
112873.732,-349893.406019970,-160889.077546129,-99717.518040723,0.439532975,-0.790914940,-0.408150518
113473.732,-349629.288168520,-161363.441303172,-99962.293260058,0.440859658,-0.790297294,-0.407766732
114073.732,-349364.374676348,-161837.433952427,-100206.837942736,0.442185111,-0.789677915,-0.407382063
114673.732,-349098.666282390,-162311.054454361,-100451.151558582,0.443509330,-0.789056803,-0.406996510
115273.732,-348832.163727065,-162784.301770582,-100695.233578100,0.444832315,-0.788433963,-0.406610075
115873.732,-348564.867752274,-163257.174863847,-100939.083472470,0.446154061,-0.787809394,-0.406222759
116473.732,-348296.779101396,-163729.672698063,-101182.700713547,0.447474568,-0.787183099,-0.405834564
117073.732,-348027.898519286,-164201.794238282,-101426.084773866,0.448793832,-0.786555081,-0.405445490
117673.732,-347758.226752274,-164673.538450710,-101669.235126640,0.450111851,-0.785925340,-0.405055539
118273.732,-347487.764548160,-165144.904302704,-101912.151245759,0.451428622,-0.785293880,-0.404664712
118873.732,-347216.512656213,-165615.890762774,-102154.832605794,0.452744143,-0.784660701,-0.404273009
119473.732,-346944.471827168,-166086.496800583,-102397.278681997,0.454058412,-0.784025806,-0.403880433
120073.732,-346671.642813221,-166556.721386953,-102639.488950297,0.455371425,-0.783389196,-0.403486983
120673.732,-346398.026368032,-167026.563493860,-102881.462887307,0.456683182,-0.782750875,-0.403092662
121273.732,-346123.623246716,-167496.022094439,-103123.199970322,0.457993679,-0.782110842,-0.402697470
121873.732,-345848.434205845,-167965.096162985,-103364.699677317,0.459302913,-0.781469102,-0.402301409
122473.732,-345572.460003442,-168433.784674952,-103605.961486951,0.460610884,-0.780825654,-0.401904479
123073.732,-345295.701398982,-168902.086606957,-103846.984878567,0.461917587,-0.780180502,-0.401506682
123673.732,-345018.159153386,-169370.000936781,-104087.769332191,0.463223020,-0.779533647,-0.401108019
124273.732,-344739.834029020,-169837.526643367,-104328.314328533,0.464527182,-0.778885092,-0.400708491
124873.732,-344460.726789694,-170304.662706826,-104568.619348989,0.465830070,-0.778234837,-0.400308100
125473.732,-344180.838200655,-170771.408108432,-104808.683875641,0.467131681,-0.777582886,-0.399906845
126073.732,-343900.169028589,-171237.761830631,-105048.507391256,0.468432013,-0.776929239,-0.399504730
126673.732,-343618.720041615,-171703.722857035,-105288.089379287,0.469731063,-0.776273900,-0.399101754
127273.732,-343336.492009285,-172169.290172428,-105527.429323876,0.471028830,-0.775616870,-0.398697918
127873.732,-343053.485702579,-172634.462762764,-105766.526709852,0.472325311,-0.774958150,-0.398293225
128473.732,-342769.701893903,-173099.239615172,-106005.381022732,0.473620503,-0.774297744,-0.397887675
129073.732,-342485.141357091,-173563.619717951,-106243.991748721,0.474914404,-0.773635652,-0.397481269
129673.732,-342199.804867392,-174027.602060579,-106482.358374715,0.476207012,-0.772971877,-0.397074009
130273.732,-341913.693201480,-174491.185633707,-106720.480388298,0.477498325,-0.772306420,-0.396665895
130873.732,-341626.807137440,-174954.369429165,-106958.357277747,0.478788339,-0.771639285,-0.396256928
131473.732,-341339.147454774,-175417.152439961,-107195.988532026,0.480077053,-0.770970472,-0.395847111
132073.732,-341050.714934394,-175879.533660281,-107433.373640793,0.481364464,-0.770299984,-0.395436443
132673.732,-340761.510358619,-176341.512085495,-107670.512094399,0.482650571,-0.769627822,-0.395024927
133273.732,-340471.534511175,-176803.086712152,-107907.403383884,0.483935369,-0.768953989,-0.394612563
133873.732,-340180.788177191,-177264.256537984,-108144.047000982,0.485218859,-0.768278486,-0.394199353
134473.732,-339889.272143196,-177725.020561910,-108380.442438124,0.486501036,-0.767601316,-0.393785297
135073.732,-339596.987197118,-178185.377784030,-108616.589188429,0.487781899,-0.766922480,-0.393370397
135673.732,-339303.934128280,-178645.327205634,-108852.486745714,0.489061445,-0.766241981,-0.392954654
136273.732,-339010.113727396,-179104.867829197,-109088.134604491,0.490339672,-0.765559821,-0.392538069
136873.732,-338715.526786571,-179563.998658384,-109323.532259967,0.491616577,-0.764876000,-0.392120643
137473.732,-338420.174099301,-180022.718698049,-109558.679208043,0.492892159,-0.764190522,-0.391702378
